2026-07-06 22:43:54 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Processing discovered business 4
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Business: Urban 71 - Cakes & Cafe
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Processing discovered business 4
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Business: Time Pause
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | ERROR    | google_maps_extractor | Failed to open business after all retry methods.
2026-07-06 22:43:56 | ERROR    | google_maps_extractor | Failed to process business 'Time Pause'. Continuing with the next business.
Traceback (most recent call last):
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 456, in _process_businesses
    self._open_business(
    ~~~~~~~~~~~~~~~~~~~^
        business_name=business_name,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        place_href=business_snapshot["place_href"],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 706, in _open_business
    raise SearchError(f"Failed to open business '{business_name}'.")
app.exceptions.SearchError: Failed to open business 'Time Pause'.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Processing discovered business 5
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Business: Urban 71 - Cakes & Cafe
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Processing discovered business 5
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Business: Time Pause
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:58 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:59 | ERROR    | google_maps_extractor | Failed to open business after all retry methods.
2026-07-06 22:43:59 | ERROR    | google_maps_extractor | Failed to process business 'Time Pause'. Continuing with the next business.
Traceback (most recent call last):
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 456, in _process_businesses
    self._open_business(
    ~~~~~~~~~~~~~~~~~~~^
        business_name=business_name,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        place_href=business_snapshot["place_href"],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 706, in _open_business
    raise SearchError(f"Failed to open business '{business_name}'.")
app.exceptions.SearchError: Failed to open business 'Time Pause'.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:59 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Processing discovered business 6
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Business: Lemon Loft Cafe
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Processing discovered business 6
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Business: Lemon Loft Cafe
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:00 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:02 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=0 | clientHeight=611
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=0 | clientHeight=611
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:03 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:05 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Current scroll iteration: 2
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 1
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Number of businesses extracted so far: 5
2026-07-06 22:44:05 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Processing discovered business 7
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Business: BESTO CAFE
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:05 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Current scroll iteration: 2
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 1
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Number of businesses extracted so far: 5
2026-07-06 22:44:05 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Processing discovered business 7
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Business: D infinity K cafe
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:05 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:06 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:07 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=0 | clientHeight=611
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=0 | clientHeight=611
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:08 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:10 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Current scroll iteration: 3
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 0
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Number of businesses extracted so far: 6
2026-07-06 22:44:10 | INFO     | google_maps_extractor | No-change counter: 1
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=611 | clientHeight=611
2026-07-06 22:44:10 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Current scroll iteration: 3
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 0
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Number of businesses extracted so far: 6
2026-07-06 22:44:10 | INFO     | google_maps_extractor | No-change counter: 1
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scrolling...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scrolling results panel...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Current panel position before scroll | scrollTop=611 | clientHeight=611
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Scroll completed.
2026-07-06 22:44:10 | INFO     | google_maps_extractor | Waiting for additional businesses...
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Current scroll iteration: 4
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 5
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Number of businesses extracted so far: 6
2026-07-06 22:44:13 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Processing discovered business 8
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Business: BESTO CAFE
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Current scroll iteration: 4
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 5
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Number of businesses extracted so far: 6
2026-07-06 22:44:13 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Processing discovered business 8
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Business: D infinity K cafe
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:13 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:14 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:44:15 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
